Node,Depth,Value,Alpha,Beta
B3,4,-Infinity,-Infinity,-7
A2,5,-6,-Infinity,-7
B3,4,-6,-Infinity,-7
A2,3,-6,-Infinity,-7
B4,4,Infinity,-Infinity,-7
B2,4,-Infinity,-Infinity,-7
A2,5,-13,-Infinity,-7
B2,4,-13,-13,-7
A3,5,-7,-13,-7
B2,4,-7,-13,-7
B4,4,-7,-Infinity,-7
B3,4,-Infinity,-Infinity,-7
A2,5,-7,-Infinity,-7
B3,4,-7,-Infinity,-7
B4,4,-7,-Infinity,-7
B5,4,-Infinity,-Infinity,-7
A2,5,-Infinity,-Infinity,-7
A3,5,-Infinity,-Infinity,-7
A2,5,-75,-Infinity,-7
A3,5,-75,-75,-7
A3,5,-75,-75,-7
A3,5,-75,-75,-7
A4,5,-73,-75,-7
A3,5,-73,-73,-7
A5,5,-75,-73,-7
A3,5,-73,-73,-7
A2,5,-73,-73,-7
A4,5,-80,-73,-7
A2,5,-73,-73,-7
B5,4,-73,-73,-7
A3,5,-Infinity,-73,-7
A2,5,-76,-73,-7
A3,5,-76,-73,-7
A3,5,-76,-73,-7
A3,5,-76,-73,-7
A4,5,-74,-73,-7
A3,5,-74,-73,-7
A5,5,-76,-73,-7
A3,5,-74,-73,-7
B5,4,-73,-73,-7
A4,5,-81,-73,-7
B5,4,-73,-73,-7
B4,4,-73,-Infinity,-73
A2,3,-73,-Infinity,-73
B5,4,-Infinity,-Infinity,-73
A2,5,-Infinity,-Infinity,-73
A3,5,-Infinity,-Infinity,-73
A2,5,5,-Infinity,-73
A3,5,5,-Infinity,-73
A2,5,5,-Infinity,-73
B5,4,5,-Infinity,-73
A2,3,-73,-Infinity,-73
B4,2,-73,-73,-7
A3,3,Infinity,-73,-7
B2,4,-Infinity,-73,-7
A2,5,-7,-73,-7
B2,4,-7,-73,-7
A3,3,-7,-73,-7
B3,4,-Infinity,-73,-7
A2,5,0,-73,-7
B3,4,0,-73,-7
A3,3,-7,-73,-7
B4,4,-Infinity,-73,-7
A2,5,3,-73,-7
B4,4,3,-73,-7
A3,3,-7,-73,-7
B5,4,-Infinity,-73,-7
A2,5,2,-73,-7
B5,4,2,-73,-7
A3,3,-7,-73,-7
B4,2,-7,-73,-7
B5,2,-7,-Infinity,-7
B5,2,-Infinity,-Infinity,-7
A2,3,Infinity,-Infinity,-7
B2,4,-Infinity,-Infinity,-7
A2,5,-11,-Infinity,-7
B2,4,-11,-11,-7
A3,5,-Infinity,-11,-7
A2,5,-Infinity,-11,-7
A2,5,-1,-11,-7
A2,5,-1,-11,-7
A3,5,-1,-11,-7
B2,4,-1,-11,-7
A2,3,-1,-Infinity,-7
B3,4,Infinity,-Infinity,-7
B2,4,-Infinity,-Infinity,-7
A2,5,-15,-Infinity,-7
B2,4,-15,-15,-7
A3,5,-9,-15,-7
B2,4,-9,-9,-7
A4,5,-13,-9,-7
B2,4,-9,-9,-7
A5,5,-7,-9,-7
B2,4,-7,-9,-7
B3,4,-7,-Infinity,-7
B3,4,Infinity,-Infinity,-7
B2,4,-Infinity,-Infinity,-7
A2,5,-16,-Infinity,-7
B2,4,-16,-16,-7
A3,5,-10,-16,-7
B2,4,-10,-10,-7
A4,5,-14,-10,-7
B2,4,-10,-10,-7
A5,5,-8,-10,-7
B2,4,-8,-8,-7
B3,4,-8,-Infinity,-8
B4,4,Infinity,-Infinity,-8
B2,4,Infinity,-Infinity,-8
B2,4,-Infinity,-Infinity,-8
A2,5,-21,-Infinity,-8
B2,4,-21,-21,-8
A3,5,-15,-21,-8
B2,4,-15,-15,-8
A4,5,-19,-15,-8
B2,4,-15,-15,-8
A5,5,-13,-15,-8
B2,4,-13,-13,-8
B2,4,-13,-Infinity,-13
B3,4,-Infinity,-Infinity,-13
A2,5,-22,-Infinity,-13
B3,4,-22,-22,-13
A3,5,-16,-22,-13
B3,4,-16,-16,-13
A4,5,-20,-16,-13
B3,4,-16,-16,-13
A5,5,-Infinity,-16,-13
A2,5,-Infinity,-16,-13
A2,5,-8,-16,-13
A2,5,-8,-16,-13
A5,5,-8,-16,-13
B3,4,-8,-16,-13
B2,4,-13,-Infinity,-13
B4,4,-Infinity,-Infinity,-13
A2,5,-22,-Infinity,-13
B4,4,-22,-22,-13
A3,5,-16,-22,-13
B4,4,-16,-16,-13
A4,5,-20,-16,-13
B4,4,-16,-16,-13
A5,5,-Infinity,-16,-13
A2,5,-Infinity,-16,-13
A2,5,-8,-16,-13
A2,5,-8,-16,-13
A5,5,-8,-16,-13
B4,4,-8,-16,-13
B2,4,-13,-Infinity,-13
B5,4,-Infinity,-Infinity,-13
A2,5,-23,-Infinity,-13
B5,4,-23,-23,-13
A3,5,-17,-23,-13
B5,4,-17,-17,-13
A4,5,-Infinity,-17,-13
A2,5,-17,-17,-13
A4,5,-17,-17,-13
A3,5,-11,-17,-13
A4,5,-11,-17,-13
B5,4,-11,-17,-13
B2,4,-13,-Infinity,-13
B4,4,-13,-Infinity,-13
B3,4,-Infinity,-Infinity,-13
A2,5,-9,-Infinity,-13
B3,4,-9,-Infinity,-13
B4,4,-13,-Infinity,-13
B4,4,Infinity,-Infinity,-13
B2,4,Infinity,-Infinity,-13
B2,4,-Infinity,-Infinity,-13
A2,5,-22,-Infinity,-13
B2,4,-22,-22,-13
A3,5,-16,-22,-13
B2,4,-16,-16,-13
A4,5,-20,-16,-13
B2,4,-16,-16,-13
A5,5,-14,-16,-13
B2,4,-14,-14,-13
B2,4,-14,-Infinity,-14
B3,4,-Infinity,-Infinity,-14
A2,5,-23,-Infinity,-14
B3,4,-23,-23,-14
A3,5,-17,-23,-14
B3,4,-17,-17,-14
A4,5,-21,-17,-14
B3,4,-17,-17,-14
A5,5,-Infinity,-17,-14
A2,5,-Infinity,-17,-14
